Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
107,01:07:20,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,72.1752,72.1752,17.2702,17.2702,301.2492,293.4786,0.5002,0.0
108,01:07:21,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,71.9999,71.9999,17.3583,17.3583,301.2361,293.4779,0.5002,0.0
109,01:07:22,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,71.8256,71.8256,17.4454,17.4454,301.223,293.4772,0.5002,0.0
110,01:07:23,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,71.6525,71.6525,17.5316,17.5316,301.2099,293.4765,0.5002,0.0
111,01:07:24,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,71.4804,71.4804,17.617,17.617,301.1969,293.4758,0.5002,0.0
112,01:07:25,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,71.3094,71.3094,17.7015,17.7015,301.184,293.4751,0.5002,0.0
113,01:07:26,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,71.1394,71.1394,17.7851,17.7851,301.1711,293.4744,0.5002,0.0
114,01:07:27,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,70.9706,70.9706,17.8678,17.8678,301.1582,293.4737,0.5002,0.0
115,01:07:28,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,70.8027,70.8027,17.9497,17.9497,301.1455,293.473,0.5002,0.0
116,01:07:29,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,70.6359,70.6359,18.0307,18.0307,301.1327,293.4723,0.5002,0.0
117,01:07:30,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,70.4701,70.4701,18.1109,18.1109,301.12,293.4716,0.5002,0.0
118,01:07:31,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,70.3053,70.3053,18.1903,18.1903,301.1074,293.4709,0.5002,0.0
119,01:07:32,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,70.1415,70.1415,18.2689,18.2689,301.0948,293.4702,0.5002,0.0
120,01:07:33,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,69.9788,69.9788,18.3466,18.3466,301.0822,293.4695,0.5002,0.0
121,01:07:34,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,69.817,69.817,18.4236,18.4236,301.0697,293.4688,0.5002,0.0
122,01:07:35,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,69.6562,69.6562,18.4997,18.4997,301.0573,293.4681,0.5002,0.0
123,01:07:36,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,69.4964,69.4964,18.5751,18.5751,301.0448,293.4673,0.5002,0.0
