Serial_No,Time,Fa,Fb,Ca_feed,Cb_feed,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa,Fin,Ca0_eff,k_f,rate_net
67,23:41:46,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.36486667163782,45.36486667163782,4.6351333283621745,4.6351333283621745,302.9889377001008,293.0085955297598,0.1667008118601267,9.270266656724345,2.78e-06,50.0,3.2e-05,0.065295
68,23:41:47,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.304840869593534,45.304840869593534,4.695159130406458,4.695159130406458,302.9886820604194,293.0085953098511,0.16670082375008202,9.390318260812924,2.78e-06,50.0,3.2e-05,0.065122
69,23:41:48,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.24505395038228,45.24505395038228,4.7549460496177165,4.7549460496177165,302.9884255251604,293.00859508917057,0.16670083563343543,9.50989209923543,2.78e-06,50.0,3.2e-05,0.06495
70,23:41:49,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.185504737646035,45.185504737646035,4.814495262353964,4.814495262353964,302.98816810927104,293.0085948677312,0.16670084751019057,9.628990524707914,2.78e-06,50.0,3.2e-05,0.064779
71,23:41:50,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.12619206239151,45.12619206239151,4.873807937608484,4.873807937608484,302.9879098275583,293.0085946455455,0.16670085938035115,9.747615875216963,2.78e-06,50.0,3.2e-05,0.064609
72,23:41:51,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.06711476293272,45.06711476293272,4.932885237067278,4.932885237067278,302.9876506946902,293.00859442262635,0.1667008712439208,9.86577047413455,2.78e-06,50.0,3.2e-05,0.06444
73,23:41:52,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,45.00827168483402,45.00827168483402,4.991728315165977,4.991728315165977,302.987390725197,293.0085941989861,0.16670088310090317,9.983456630331943,2.78e-06,50.0,3.2e-05,0.064272
74,23:41:53,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.94966168085377,44.94966168085377,5.050338319146225,5.050338319146225,302.9871299334722,293.0085939746372,0.16670089495130197,10.100676638292438,2.78e-06,50.0,3.2e-05,0.064104
75,23:41:54,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.89128361088847,44.89128361088847,5.108716389111531,5.108716389111531,302.9868683337741,293.008593749592,0.1667009067951208,10.217432778223046,2.78e-06,50.0,3.2e-05,0.063938
76,23:41:55,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.8331363419174,44.8331363419174,5.166863658082601,5.166863658082601,302.98660594022664,293.00859352386254,0.16670091863236333,10.333727316165186,2.78e-06,50.0,3.2e-05,0.063772
77,23:41:56,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.77521874794784,44.77521874794784,5.22478125205216,5.22478125205216,302.98634276682077,293.00859329746095,0.16670093046303322,10.449562504104303,2.78e-06,50.0,3.2e-05,0.063607
78,23:41:57,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.71752970996075,44.71752970996075,5.282470290039256,5.282470290039256,302.98607882741555,293.00859307039923,0.1667009422871341,10.564940580078485,2.78e-06,50.0,3.2e-05,0.063443
79,23:41:58,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.66006811585693,44.66006811585693,5.339931884143072,5.339931884143072,302.98581413573925,293.008592842689,0.16670095410466967,10.679863768286124,2.78e-06,50.0,3.2e-05,0.06328
80,23:41:59,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.60283286040377,44.60283286040377,5.397167139596224,5.397167139596224,302.9855487053906,293.00859261434215,0.1667009659156435,10.79433427919244,2.78e-06,50.0,3.2e-05,0.063118
81,23:42:00,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.545822845182414,44.545822845182414,5.454177154817582,5.454177154817582,302.98528254983984,293.0085923853702,0.16670097772005932,10.90835430963516,2.78e-06,50.0,3.2e-05,0.062957
82,23:42:01,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.4890369785354,44.4890369785354,5.510963021464592,5.510963021464592,302.9850156824298,293.0085921557847,0.16670098951792073,11.021926042929186,2.78e-06,50.0,3.2e-05,0.062796
83,23:42:02,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.432474175514876,44.432474175514876,5.567525824485121,5.567525824485121,302.9847481163771,293.00859192559693,0.16670100130923132,11.13505164897024,2.78e-06,50.0,3.2e-05,0.062636
84,23:42:03,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.37613335783118,44.37613335783118,5.623866642168822,5.623866642168822,302.9844798647733,293.0085916948183,0.1667010130939948,11.247733284337624,2.78e-06,50.0,3.2e-05,0.062478
85,23:42:04,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.32001345380198,44.32001345380198,5.679986546198029,5.679986546198029,302.98421094058574,293.0085914634599,0.16670102487221475,11.359973092396036,2.78e-06,50.0,3.2e-05,0.06232
86,23:42:05,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.264113398301824,44.264113398301824,5.73588660169818,5.73588660169818,302.98394135665893,293.00859123153276,0.16670103664389482,11.47177320339634,2.78e-06,50.0,3.2e-05,0.062162
87,23:42:06,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.20843213271221,44.20843213271221,5.791567867287787,5.791567867287787,302.9836711257153,293.00859099904795,0.16670104840903865,11.583135734575567,2.78e-06,50.0,3.2e-05,0.062006
88,23:42:07,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.152968604872065,44.152968604872065,5.84703139512794,5.84703139512794,302.9834002603566,293.0085907660162,0.1667010601676499,11.694062790255854,2.78e-06,50.0,3.2e-05,0.06185
89,23:42:08,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.097721769028645,44.097721769028645,5.90227823097136,5.90227823097136,302.98312877306455,293.00859053244835,0.16670107191973216,11.804556461942695,2.78e-06,50.0,3.2e-05,0.061696
90,23:42:09,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,44.042690585788996,44.042690585788996,5.957309414211013,5.957309414211013,302.9828566762023,293.00859029835493,0.16670108366528905,11.914618828421997,2.78e-06,50.0,3.2e-05,0.061542
91,23:42:10,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.98787402207174,43.98787402207174,6.012125977928266,6.012125977928266,302.98258398201517,293.0085900637467,0.1667010954043242,12.024251955856503,2.78e-06,50.0,3.2e-05,0.061388
92,23:42:11,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.933271051059386,43.933271051059386,6.066728948940622,6.066728948940622,302.9823107026318,293.00858982863383,0.16670110713684128,12.133457897881216,2.78e-06,50.0,3.2e-05,0.061236
93,23:42:12,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.878880652151004,43.878880652151004,6.121119347849008,6.121119347849008,302.9820368500652,293.00858959302684,0.16670111886284386,12.242238695697981,2.78e-06,50.0,3.2e-05,0.061084
94,23:42:13,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.82470181091537,43.82470181091537,6.175298189084638,6.175298189084638,302.98176243621344,293.008589356936,0.16670113058233554,12.350596378169243,2.78e-06,50.0,3.2e-05,0.060933
95,23:42:14,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.770733519044555,43.770733519044555,6.229266480955458,6.229266480955458,302.98148747286115,293.00858912037137,0.16670114229532,12.458532961910873,2.78e-06,50.0,3.2e-05,0.060783
96,23:42:15,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.71697477430786,43.71697477430786,6.283025225692159,6.283025225692159,302.98121197168007,293.00858888334307,0.16670115400180077,12.56605045138427,2.78e-06,50.0,3.2e-05,0.060634
97,23:42:16,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.66342458050622,43.66342458050622,6.33657541949379,6.33657541949379,302.9809359442301,293.008588645861,0.1667011657017815,12.673150838987546,2.78e-06,50.0,3.2e-05,0.060485
98,23:42:17,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.61008194742707,43.61008194742707,6.389918052572947,6.389918052572947,302.9806594019607,293.008588407935,0.16670117739526583,12.779836105145847,2.78e-06,50.0,3.2e-05,0.060338
99,23:42:18,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.55694589079946,43.55694589079946,6.443054109200557,6.443054109200557,302.9803823562111,293.008588169575,0.16670118908225734,12.88610821840106,2.78e-06,50.0,3.2e-05,0.060191
100,23:42:19,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.504015432249744,43.504015432249744,6.495984567750269,6.495984567750269,302.9801048182121,293.00858793079044,0.16670120076275963,12.991969135500502,2.78e-06,50.0,3.2e-05,0.060044
101,23:42:20,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.45128959925758,43.45128959925758,6.548710400742434,6.548710400742434,302.97982679908614,293.00858769159106,0.16670121243677632,13.097420801484827,2.78e-06,50.0,3.2e-05,0.059899
102,23:42:21,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.39876742511231,43.39876742511231,6.601232574887699,6.601232574887699,302.97954830984895,293.0085874519863,0.166701224104311,13.202465149775367,2.78e-06,50.0,3.2e-05,0.059754
103,23:42:22,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.3464479488698,43.3464479488698,6.653552051130211,6.653552051130211,302.97926936141,293.00858721198557,0.16670123576536727,13.30710410226038,2.78e-06,50.0,3.2e-05,0.05961
104,23:42:23,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.294330215309586,43.294330215309586,6.7056697846904285,6.7056697846904285,302.9789899645737,293.0085869715981,0.1667012474199487,13.41133956938082,2.78e-06,50.0,3.2e-05,0.059466
105,23:42:24,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.242413274892456,43.242413274892456,6.757586725107562,6.757586725107562,302.9787101300403,293.0085867308332,0.16670125906805894,13.515173450215078,2.78e-06,50.0,3.2e-05,0.059324
106,23:42:25,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,43.190696183718394,43.190696183718394,6.809303816281624,6.809303816281624,302.9784298684065,293.00858648969995,0.16670127070970156,13.618607632563196,2.78e-06,50.0,3.2e-05,0.059182
